Gene stable ID	Transcript stable ID	Protein stable ID	HGNC ID	HGNC symbol
ENSG00000204614	ENST00000396581	ENSP00000379826	HGNC:18736	TRIM40
ENSG00000204614	ENST00000376724	ENSP00000365914	HGNC:18736	TRIM40
ENSG00000204614	ENST00000307859	ENSP00000308310	HGNC:18736	TRIM40
ENSG00000253303	ENST00000522058		HGNC:5709	IGHVIII-82
ENSG00000174788	ENST00000598935	ENSP00000472761	HGNC:30209	PCP2
ENSG00000174788	ENST00000311069	ENSP00000310585	HGNC:30209	PCP2
ENSG00000226347	ENST00000457762	ENSP00000416299	HGNC:8260	OR2J2
ENSG00000176438	ENST00000557275	ENSP00000450562	HGNC:19861	SYNE3
ENSG00000176438	ENST00000334258	ENSP00000334308	HGNC:19861	SYNE3
ENSG00000176438	ENST00000554873	ENSP00000452154	HGNC:19861	SYNE3
ENSG00000176438	ENST00000555759		HGNC:19861	SYNE3
ENSG00000176438	ENST00000553340	ENSP00000450774	HGNC:19861	SYNE3
