Gene stable ID	RefSeq ncRNA ID
ENSG00000286009	
ENSG00000286009	
ENSG00000286009	
ENSG00000271365	
ENSG00000259029	
ENSG00000286201	
ENSG00000215537	
ENSG00000230476	
ENSG00000229745	
ENSG00000227204	
ENSG00000275828	
ENSG00000225615	
ENSG00000230663	
ENSG00000232522	
ENSG00000234131	
ENSG00000277519	
ENSG00000259247	
ENSG00000273731	
ENSG00000236951	
ENSG00000236951	
ENSG00000215583	
ENSG00000274162	
ENSG00000227444	
ENSG00000233774	
ENSG00000232475	
ENSG00000228764	
ENSG00000232226	
ENSG00000224567	
ENSG00000241200	
ENSG00000228518	
ENSG00000227447	
ENSG00000274231	
ENSG00000286050	
ENSG00000274502	
ENSG00000278854	
ENSG00000225809	
ENSG00000237902	
ENSG00000232419	NR_001549
ENSG00000226906	NR_001525
ENSG00000230025	
ENSG00000235649	
ENSG00000258567	
ENSG00000234179	
ENSG00000271309	
ENSG00000229553	
ENSG00000228240	NR_002179
ENSG00000228240	NR_001526
ENSG00000234652	
ENSG00000218410	
ENSG00000224989	NR_028083
ENSG00000131548	NR_002175
ENSG00000232029	
ENSG00000273858	
ENSG00000227830	
ENSG00000226529	
ENSG00000274837	
ENSG00000216777	
ENSG00000216824	
ENSG00000276829	
ENSG00000228850	
ENSG00000283076	
ENSG00000234850	
ENSG00000224873	
ENSG00000229234	
ENSG00000270570	
ENSG00000223517	
ENSG00000228207	
ENSG00000224917	
ENSG00000286187	
ENSG00000225117	
ENSG00000215560	NR_001541
ENSG00000228411	
ENSG00000235059	NR_110413
ENSG00000235059	
ENSG00000244395	
ENSG00000244395	
ENSG00000244395	
ENSG00000230727	
ENSG00000230814	
ENSG00000229725	
ENSG00000229236	NR_001542
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229236	
ENSG00000229518	
ENSG00000232730	
ENSG00000229308	
ENSG00000244000	
ENSG00000232764	
ENSG00000236131	
ENSG00000227949	
ENSG00000252900	
ENSG00000252689	
ENSG00000243980	
ENSG00000252315	
ENSG00000252012	
ENSG00000273966	
ENSG00000252173	
ENSG00000252323	
ENSG00000169953	
ENSG00000169953	NR_003509
ENSG00000169953	
ENSG00000169953	
ENSG00000236429	
ENSG00000249501	
ENSG00000228193	
ENSG00000248573	
ENSG00000230904	
ENSG00000238135	
ENSG00000224151	
ENSG00000251970	
ENSG00000238088	
ENSG00000217179	
ENSG00000217896	
ENSG00000185275	
ENSG00000252766	
ENSG00000274282	
ENSG00000234529	
ENSG00000238191	
ENSG00000226353	
ENSG00000275578	
ENSG00000226449	
ENSG00000225896	
ENSG00000224166	
ENSG00000229129	
ENSG00000223555	
ENSG00000235521	
ENSG00000252513	
ENSG00000224964	
ENSG00000226011	
ENSG00000225740	
ENSG00000229138	
ENSG00000224485	
ENSG00000226116	
ENSG00000237558	
ENSG00000233378	
ENSG00000237616	
ENSG00000224033	
ENSG00000230412	
ENSG00000225895	
ENSG00000233120	
ENSG00000252166	
ENSG00000232744	
ENSG00000229465	
ENSG00000231311	
ENSG00000236599	
ENSG00000232899	
ENSG00000229302	
ENSG00000228945	
ENSG00000233522	
ENSG00000278391	
ENSG00000251953	
ENSG00000252667	
ENSG00000249726	
ENSG00000225716	
ENSG00000229406	
ENSG00000227494	
ENSG00000252209	
ENSG00000249634	
ENSG00000251510	
ENSG00000238067	
ENSG00000233546	
ENSG00000230377	
ENSG00000250951	
ENSG00000230458	
ENSG00000131007	
ENSG00000131007	NR_002159
ENSG00000235479	
ENSG00000249606	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	NR_158640
ENSG00000176728	NR_125736
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	NR_125734
ENSG00000176728	NR_125735
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	NR_125737
ENSG00000176728	NR_158641
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	NR_001543
ENSG00000176728	
ENSG00000176728	
ENSG00000176728	
ENSG00000267793	
ENSG00000260197	
ENSG00000288049	
ENSG00000288049	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000172468	
ENSG00000172468	
ENSG00000172468	NR_003510
ENSG00000172468	
ENSG00000176679	
ENSG00000176679	
ENSG00000169800	
ENSG00000169800	
ENSG00000169800	
ENSG00000182415	
ENSG00000233126	
ENSG00000227251	
ENSG00000252633	
ENSG00000251996	
ENSG00000252155	
ENSG00000252472	
ENSG00000224953	
ENSG00000274365	
ENSG00000233634	
ENSG00000237701	
ENSG00000273906	
ENSG00000232976	
ENSG00000226270	
ENSG00000227837	
ENSG00000278602	
ENSG00000223978	
ENSG00000278197	
ENSG00000230819	
ENSG00000185894	
ENSG00000185894	
ENSG00000185894	
ENSG00000185894	
ENSG00000228296	NR_002177
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	
