Gene stable ID	MGI ID
ENSMUSG00000100388	MGI:5579822
ENSMUSG00000100802	MGI:5434245
ENSMUSG00000099588	MGI:5580004
ENSMUSG00000101752	MGI:5434243
ENSMUSG00000100028	MGI:5579798
ENSMUSG00000100350	MGI:5579797
ENSMUSG00000099867	MGI:5580026
ENSMUSG00000101193	MGI:5434013
ENSMUSG00000100887	MGI:5580003
ENSMUSG00000100655	MGI:5434817
ENSMUSG00000101670	MGI:5434825
ENSMUSG00000100773	MGI:5579072
ENSMUSG00000100365	MGI:5580025
ENSMUSG00000099985	MGI:5579023
ENSMUSG00000099916	MGI:5579024
ENSMUSG00000101631	MGI:5434240
ENSMUSG00000099613	MGI:5579019
ENSMUSG00000101557	MGI:5579020
ENSMUSG00000101222	MGI:5579021
ENSMUSG00000101902	MGI:5579821
ENSMUSG00000102132	MGI:5433977
ENSMUSG00000100787	MGI:5579022
ENSMUSG00000100098	MGI:5434742
ENSMUSG00000099709	MGI:5434751
ENSMUSG00000101002	MGI:5579650
ENSMUSG00000099856	MGI:5434262
ENSMUSG00000101019	MGI:5579649
ENSMUSG00000101241	MGI:5579817
ENSMUSG00000101684	MGI:5579652
ENSMUSG00000100695	MGI:5578816
ENSMUSG00000100820	MGI:5579651
ENSMUSG00000101866	MGI:5578815
ENSMUSG00000101931	MGI:5578814
ENSMUSG00000100355	MGI:5578813
ENSMUSG00000101646	MGI:5578812
ENSMUSG00000100947	MGI:5579655
ENSMUSG00000100461	MGI:5579654
ENSMUSG00000100746	MGI:5579422
ENSMUSG00000099675	MGI:5579423
ENSMUSG00000101770	MGI:5579424
ENSMUSG00000100248	MGI:5579656
ENSMUSG00000101623	MGI:5434600
ENSMUSG00000099643	MGI:5579868
ENSMUSG00000100996	MGI:5579875
ENSMUSG00000099777	MGI:5433941
ENSMUSG00000101515	MGI:5434063
ENSMUSG00000100930	MGI:5579572
ENSMUSG00000099559	MGI:5579769
ENSMUSG00000099637	MGI:5579443
ENSMUSG00000100440	MGI:5579111
ENSMUSG00000101494	MGI:5433956
ENSMUSG00000099565	MGI:5579444
ENSMUSG00000099649	MGI:5579112
ENSMUSG00000100343	MGI:5434279
ENSMUSG00000100391	MGI:5579684
ENSMUSG00000101984	MGI:5580142
ENSMUSG00000099494	MGI:5578903
ENSMUSG00000100637	MGI:5434175
ENSMUSG00000102044	MGI:5434604
ENSMUSG00000101850	MGI:5580143
ENSMUSG00000099745	MGI:5579442
ENSMUSG00000099436	MGI:5579683
ENSMUSG00000101883	MGI:5434004
ENSMUSG00000100067	MGI:5579113
ENSMUSG00000100818	MGI:5434642
ENSMUSG00000099529	MGI:5580096
ENSMUSG00000102022	MGI:5579441
ENSMUSG00000101497	MGI:5580097
ENSMUSG00000100870	MGI:5433884
ENSMUSG00000101694	MGI:5580098
ENSMUSG00000100492	MGI:5579378
ENSMUSG00000099725	MGI:5579440
ENSMUSG00000100403	MGI:5434002
ENSMUSG00000100853	MGI:5578938
ENSMUSG00000099982	MGI:5579376
ENSMUSG00000100036	MGI:5579377
ENSMUSG00000099506	MGI:5579438
ENSMUSG00000101402	MGI:5579379
ENSMUSG00000100584	MGI:5579439
ENSMUSG00000100574	MGI:5579380
ENSMUSG00000101987	MGI:5434623
ENSMUSG00000100072	MGI:5434630
ENSMUSG00000101570	MGI:5578939
ENSMUSG00000101885	MGI:5578941
ENSMUSG00000100095	MGI:5578940
ENSMUSG00000101420	MGI:5434066
ENSMUSG00000100270	MGI:5433967
ENSMUSG00000102011	MGI:5579636
ENSMUSG00000100246	MGI:5434235
ENSMUSG00000099654	MGI:5578942
ENSMUSG00000100834	MGI:5434640
ENSMUSG00000100533	MGI:5580210
ENSMUSG00000094729	MGI:5434103
ENSMUSG00000100332	MGI:5579956
ENSMUSG00000100678	MGI:5579957
ENSMUSG00000100507	MGI:5434070
ENSMUSG00000101547	MGI:5579958
ENSMUSG00000100401	MGI:5579954
ENSMUSG00000101992	MGI:5579955
