Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000100263	ENSMUST00000188536	
ENSMUSG00000101575	ENSMUST00000185598	
ENSMUSG00000101715	ENSMUST00000191596	
ENSMUSG00000100785	ENSMUST00000189258	
ENSMUSG00000101425	ENSMUST00000185248	
ENSMUSG00000101425	ENSMUST00000187205	
ENSMUSG00000100698	ENSMUST00000185643	
ENSMUSG00000099822	ENSMUST00000191389	
ENSMUSG00000099822	ENSMUST00000185485	
ENSMUSG00000099822	ENSMUST00000189521	
ENSMUSG00000099547	ENSMUST00000191593	
ENSMUSG00000101781	ENSMUST00000186034	
ENSMUSG00000101271	ENSMUST00000186653	
ENSMUSG00000099504	ENSMUST00000186204	
ENSMUSG00000099782	ENSMUST00000189346	ENSMUSP00000141119
ENSMUSG00000101377	ENSMUST00000190743	
ENSMUSG00000101038	ENSMUST00000189512	
ENSMUSG00000101709	ENSMUST00000190425	
ENSMUSG00000100604	ENSMUST00000189094	
ENSMUSG00000099554	ENSMUST00000190319	
ENSMUSG00000099554	ENSMUST00000190815	
ENSMUSG00000099814	ENSMUST00000186269	
ENSMUSG00000099814	ENSMUST00000188790	
ENSMUSG00000099814	ENSMUST00000186161	
ENSMUSG00000101757	ENSMUST00000185811	
ENSMUSG00000100179	ENSMUST00000191056	
ENSMUSG00000101815	ENSMUST00000186297	
ENSMUSG00000101538	ENSMUST00000190520	
ENSMUSG00000100251	ENSMUST00000185371	
ENSMUSG00000100983	ENSMUST00000190848	
ENSMUSG00000101820	ENSMUST00000190543	
ENSMUSG00000100283	ENSMUST00000189624	
ENSMUSG00000099832	ENSMUST00000186756	
ENSMUSG00000101246	ENSMUST00000187787	
ENSMUSG00000101382	ENSMUST00000189183	
ENSMUSG00000099967	ENSMUST00000187114	
ENSMUSG00000101161	ENSMUST00000190662	
ENSMUSG00000100705	ENSMUST00000186862	
ENSMUSG00000101157	ENSMUST00000190782	ENSMUSP00000140730
ENSMUSG00000099712	ENSMUST00000189889	
ENSMUSG00000099586	ENSMUST00000191210	
ENSMUSG00000100066	ENSMUST00000190671	
ENSMUSG00000101879	ENSMUST00000188530	
ENSMUSG00000101879	ENSMUST00000190197	
ENSMUSG00000099412	ENSMUST00000190469	
ENSMUSG00000101831	ENSMUST00000185869	
ENSMUSG00000100428	ENSMUST00000186019	
ENSMUSG00000099601	ENSMUST00000189438	
ENSMUSG00000101704	ENSMUST00000191365	
ENSMUSG00000101349	ENSMUST00000190545	
ENSMUSG00000100140	ENSMUST00000190429	
ENSMUSG00000100140	ENSMUST00000187068	
ENSMUSG00000101710	ENSMUST00000186497	
ENSMUSG00000094575	ENSMUST00000177666	ENSMUSP00000136636
ENSMUSG00000101146	ENSMUST00000190173	ENSMUSP00000140666
ENSMUSG00000099499	ENSMUST00000188357	
ENSMUSG00000101213	ENSMUST00000189717	
ENSMUSG00000100952	ENSMUST00000188667	
ENSMUSG00000100952	ENSMUST00000191476	
ENSMUSG00000099730	ENSMUST00000186357	
ENSMUSG00000099896	ENSMUST00000189701	
ENSMUSG00000099896	ENSMUST00000186793	
ENSMUSG00000101873	ENSMUST00000188221	
ENSMUSG00000101980	ENSMUST00000185911	
ENSMUSG00000100203	ENSMUST00000191308	
ENSMUSG00000100669	ENSMUST00000187671	
ENSMUSG00000099460	ENSMUST00000190360	
ENSMUSG00000100260	ENSMUST00000186860	
ENSMUSG00000100675	ENSMUST00000190142	
ENSMUSG00000099807	ENSMUST00000189399	
ENSMUSG00000099807	ENSMUST00000185747	
ENSMUSG00000101435	ENSMUST00000189554	
ENSMUSG00000100544	ENSMUST00000188938	
ENSMUSG00000100544	ENSMUST00000190412	
ENSMUSG00000100883	ENSMUST00000187925	
ENSMUSG00000100902	ENSMUST00000188672	ENSMUSP00000141004
ENSMUSG00000100892	ENSMUST00000185240	ENSMUSP00000140689
ENSMUSG00000100673	ENSMUST00000186226	
ENSMUSG00000101050	ENSMUST00000187087	
ENSMUSG00000101050	ENSMUST00000188107	
ENSMUSG00000102025	ENSMUST00000190597	
ENSMUSG00000099793	ENSMUST00000186918	
ENSMUSG00000100699	ENSMUST00000189913	
ENSMUSG00000096438	ENSMUST00000180966	
ENSMUSG00000099351	ENSMUST00000191282	
ENSMUSG00000099489	ENSMUST00000189993	
ENSMUSG00000100845	ENSMUST00000187354	
ENSMUSG00000096275	ENSMUST00000180177	
ENSMUSG00000101771	ENSMUST00000185322	
ENSMUSG00000101771	ENSMUST00000185740	
ENSMUSG00000100719	ENSMUST00000187228	
ENSMUSG00000101740	ENSMUST00000185625	
ENSMUSG00000101740	ENSMUST00000191555	
ENSMUSG00000100050	ENSMUST00000191420	
ENSMUSG00000101292	ENSMUST00000189854	
ENSMUSG00000100588	ENSMUST00000186801	
ENSMUSG00000100588	ENSMUST00000189149	
ENSMUSG00000102050	ENSMUST00000189151	
ENSMUSG00000101238	ENSMUST00000189725	
ENSMUSG00000100406	ENSMUST00000188812	
ENSMUSG00000099526	ENSMUST00000187866	
ENSMUSG00000099526	ENSMUST00000189699	
ENSMUSG00000101040	ENSMUST00000186449	
ENSMUSG00000101040	ENSMUST00000188911	
ENSMUSG00000100560	ENSMUST00000187388	
ENSMUSG00000101272	ENSMUST00000189459	
ENSMUSG00000101478	ENSMUST00000187743	
ENSMUSG00000101633	ENSMUST00000187045	
ENSMUSG00000101283	ENSMUST00000186800	
ENSMUSG00000101727	ENSMUST00000189319	
ENSMUSG00000100907	ENSMUST00000185468	
ENSMUSG00000101960	ENSMUST00000189721	
ENSMUSG00000101960	ENSMUST00000189277	
ENSMUSG00000095179	ENSMUST00000179473	
ENSMUSG00000101917	ENSMUST00000188724	
ENSMUSG00000101205	ENSMUST00000188863	
ENSMUSG00000100526	ENSMUST00000186251	
ENSMUSG00000101785	ENSMUST00000188276	
ENSMUSG00000100149	ENSMUST00000189778	
ENSMUSG00000101602	ENSMUST00000187614	
ENSMUSG00000099953	ENSMUST00000189193	
ENSMUSG00000102032	ENSMUST00000189548	
ENSMUSG00000100823	ENSMUST00000186589	
ENSMUSG00000099416	ENSMUST00000189573	
ENSMUSG00000099416	ENSMUST00000188256	
ENSMUSG00000099606	ENSMUST00000189026	
ENSMUSG00000100063	ENSMUST00000190919	
ENSMUSG00000100722	ENSMUST00000187955	
ENSMUSG00000100722	ENSMUST00000187498	
ENSMUSG00000096898	ENSMUST00000190987	ENSMUSP00000139713
ENSMUSG00000096898	ENSMUST00000178900	ENSMUSP00000136459
ENSMUSG00000101017	ENSMUST00000190025	
ENSMUSG00000100366	ENSMUST00000187884	
ENSMUSG00000100888	ENSMUST00000191188	
ENSMUSG00000100433	ENSMUST00000188393	
ENSMUSG00000102111	ENSMUST00000190627	
ENSMUSG00000101060	ENSMUST00000186260	
ENSMUSG00000101060	ENSMUST00000185255	
ENSMUSG00000099497	ENSMUST00000186846	
ENSMUSG00000099479	ENSMUST00000188904	
ENSMUSG00000101115	ENSMUST00000186118	
ENSMUSG00000100849	ENSMUST00000186567	
ENSMUSG00000100849	ENSMUST00000189180	
ENSMUSG00000101194	ENSMUST00000191590	
ENSMUSG00000099742	ENSMUST00000188140	
ENSMUSG00000100999	ENSMUST00000189914	
ENSMUSG00000101562	ENSMUST00000189235	
ENSMUSG00000101321	ENSMUST00000187598	
ENSMUSG00000100328	ENSMUST00000189686	
ENSMUSG00000100328	ENSMUST00000189295	
ENSMUSG00000101098	ENSMUST00000191433	
ENSMUSG00000094739	ENSMUST00000190349	ENSMUSP00000141047
ENSMUSG00000094739	ENSMUST00000180324	ENSMUSP00000136000
ENSMUSG00000102071	ENSMUST00000186751	
ENSMUSG00000100741	ENSMUST00000187334	
ENSMUSG00000101804	ENSMUST00000186293	
ENSMUSG00000101804	ENSMUST00000190034	
ENSMUSG00000099849	ENSMUST00000188814	
ENSMUSG00000099849	ENSMUST00000188644	
ENSMUSG00000100822	ENSMUST00000189475	
